ID,Location,Specific Location,Amenities,Bedroom,Bathroom,Toilet,New,Duplex,Lux,Estate,rank,Price
722,lekki,"5street estate,agungi agungi lekki lagos",8,4,4,4,1,0,0,1,7,3000000
723,lekki,off admiralty way lekki phase 1 lekki lagos,4,2,2,2,1,1,1,1,6,2200000
724,lekki,off admiralty way lekki phase 1 lekki lagos,7,4,3,4,0,0,0,1,7,2500000
725,lekki,close to prime water estate ikate lekki lagos,7,4,3,4,0,0,0,1,7,2500000
726,lekki,pinnock beach estate osapa london lekki lagos,7,4,3,4,0,0,0,0,7,2000000
727,lekki,bishop's court ikate lekki lagos,9,5,4,5,0,0,0,1,9,3500000
728,lekki,ikota villa estate ikota lekki lagos,9,5,4,5,0,0,0,1,9,3500000
729,lekki,"  osapa, osapa london lekki lagos",9,5,4,5,0,0,0,1,9,3500000
730,lekki,"  richmond gate estate, ikate lekki lagos",9,5,4,5,1,1,1,1,9,5000000
731,lekki,lekki lekki phase 1 lekki lagos,9,5,4,5,1,0,0,1,9,4000000
732,lekki,lekki phase 1 lekki lagos,5,3,2,3,0,0,0,0,7,1700000
733,lekki,off kusenla ikate lekki lagos,8,4,4,4,1,1,1,1,7,4300000
734,lekki,pinnock beach luxury estate osapa london lekki lagos,14,7,7,7,0,0,0,1,10,6500000
735,lekki,ikota ikota lekki lagos,5,3,2,3,0,0,0,0,7,1600000
736,lekki,oral estate oral estate lekki lagos,5,3,2,3,0,0,0,0,7,1800000
737,lekki,off admiralty way lekki phase 1 lekki lagos,9,5,4,5,1,1,1,1,9,5600000
738,lekki,eletu osapa london lekki lagos,7,4,3,4,0,0,0,0,7,2000000
739,lekki,... lekki phase 1 lekki lagos,2,1,1,1,1,1,1,1,4,1400000
740,lekki,"  pinnock beach estate, osapa london lekki lagos",11,6,5,6,1,1,0,1,10,6200000
741,lekki,lekki paradise chevron lekki lagos,7,4,3,4,0,0,0,1,7,2500000
742,lekki,chevy view chevron lekki lagos,2,1,1,1,0,0,0,0,4,400000
743,lekki,ikota villa estate ikota lekki lagos,2,1,1,1,0,0,0,0,4,500000
744,lekki,bera estate off chevron drive chevron lekki lagos,9,5,4,5,0,0,0,1,9,3500000
745,lekki,ikota lekki lagos,5,3,2,3,0,0,0,0,7,1700000
